ID	altura	diametro	inclinacion	especie	origen	brotes
21462	15	60	0	Jacaranda	Nativo/Autoctono	6
21971	5	20	0	Ficus	Exotico	4
22226	6	5	0	Alamo	Exotico	4
22337	12	35	0	Palo borracho	Nativo/Autoctono	6
22473	6	32	0	Palo borracho	Nativo/Autoctono	4
22505	8	44	0	Palo borracho	Nativo/Autoctono	5
22608	13	33	0	Palo borracho	Nativo/Autoctono	6
22642	14	23	0	Alamo	Exotico	2
22683	15	32	0	Alamo	Exotico	5
22685	15	32	0	Alamo	Exotico	3
22925	10	14	0	Alamo	Exotico	3
23028	17	25	10	Jacaranda	Nativo/Autoctono	5
23105	6	103	0	Ceibo	Nativo/Autoctono	5
23474	7	8	0	Fresno	Exotico	3
23501	10	27	0	Jacaranda	Nativo/Autoctono	2
23542	24	60	12	Alamo	Exotico	4
23578	32	100	0	Eucalipto	Exotico	3
23864	15	48	0	Casuarina	Exotico	4
24211	18	30	0	Alamo	Exotico	3
24439	13	28	0	Casuarina	Exotico	4
24608	9	24	0	Casuarina	Exotico	2
24646	24	50	0	Alamo	Exotico	3
24698	11	17	0	Casuarina	Exotico	4
24753	12	14	0	Casuarina	Exotico	1
24955	13	22	0	Casuarina	Exotico	2
25100	20	50	0	Casuarina	Exotico	4
25106	7	12	5	Jacaranda	Nativo/Autoctono	4
25107	2	10	50	Acacia	Exotico	3
25134	14	59	0	Palo borracho	Nativo/Autoctono	5
25423	17	120	0	Alamo	Exotico	2
25443	22	70	0	Casuarina	Exotico	1
25609	14	34	0	Casuarina	Exotico	2
25746	25	60	0	Alamo	Exotico	2
25774	22	40	0	Alamo	Exotico	2
25787	20	40	0	Acacia	Nativo/Autoctono	8
25867	7	30	0	Ceibo	Nativo/Autoctono	7
25880	7	30	0	Ceibo	Nativo/Autoctono	4
26263	22	45	0	Eucalipto	Exotico	2
26264	22	45	0	Eucalipto	Exotico	3
26268	22	45	0	Eucalipto	Exotico	2
26585	33	78	0	Eucalipto	Exotico	1
26597	15	36	0	Eucalipto	Exotico	3
26658	4	12	0	Alamo	Exotico	3
26923	29	109	28	Eucalipto	Exotico	4
27130	20	52	25	Eucalipto	Exotico	4
27131	20	42	0	Eucalipto	Exotico	2
27152	18	70	0	Eucalipto	Exotico	5
27157	16	34	6	Eucalipto	Exotico	1
27298	25	57	0	Eucalipto	Exotico	5
27409	22	66	0	Casuarina	Exotico	4
27691	7	46	0	Palo borracho	Nativo/Autoctono	5
27721	10	74	0	Palo borracho	Nativo/Autoctono	5
27961	20	40	0	Palo borracho	Nativo/Autoctono	4
28005	7	20	0	Casuarina	Exotico	3
28085	10	30	0	Fresno	Exotico	4
28183	5	20	0	Ceibo	Nativo/Autoctono	3
28204	10	40	0	Casuarina	Exotico	4
28216	9	18	9	Acacia	Exotico	4
28365	7	38	0	Ficus	Exotico	5
28440	16	20	0	Ficus	Exotico	3
28652	14	45	0	Palo borracho	Nativo/Autoctono	6
29478	16	55	10	Palo borracho	Nativo/Autoctono	5
29502	1	3	0	Ficus	Exotico	1
29615	14	29	0	Casuarina	Exotico	5
30036	15	37	0	Eucalipto	Exotico	4
30223	7	13	0	Fresno	Exotico	2
30321	14	73	0	Palo borracho	Nativo/Autoctono	6
30412	21	64	0	Casuarina	Exotico	2
30493	15	15	0	Palo borracho	Nativo/Autoctono	3
30673	5	9	0	Acacia	Nativo/Autoctono	6
31005	19	100	0	Palo borracho	Nativo/Autoctono	5
31114	9	40	0	Palo borracho	Nativo/Autoctono	5
31134	6	24	0	Ficus	Exotico	3
31189	13	114	6	Palo borracho	Nativo/Autoctono	4
31229	15	14	0	Acacia	Exotico	3
31240	17	9	0	Acacia	Exotico	4
31503	15	9	0	Fresno	Exotico	3
31686	15	36	0	Fresno	Exotico	3
32077	7	42	12	Ceibo	Nativo/Autoctono	5
32251	10	20	0	Fresno	Exotico	3
32272	16	58	26	Eucalipto	Exotico	2
32392	11	30	10	Jacaranda	Nativo/Autoctono	4
32687	6	24	44	Jacaranda	Nativo/Autoctono	3
32837	17	65	0	Casuarina	Exotico	5
32875	10	20	5	Fresno	Exotico	3
33189	12	25	24	Alamo	Exotico	4
33300	10	60	15	Ceibo	Nativo/Autoctono	6
33431	10	25	0	Fresno	Exotico	3
33480	17	56	11	Jacaranda	Nativo/Autoctono	0
33568	3	30	0	Ceibo	Nativo/Autoctono	4
33628	17	103	0	Alamo	Exotico	1
33634	7	27	10	Ceibo	Nativo/Autoctono	5
34008	4	45	0	Alamo	Exotico	2
34045	24	30	0	Jacaranda	Nativo/Autoctono	3
34227	12	53	0	Palo borracho	Nativo/Autoctono	6
34463	18	68	4	Alamo	Exotico	4
34464	15	18	0	Alamo	Exotico	3
34543	17	60	0	Palo borracho	Nativo/Autoctono	2
34593	2	5	0	Fresno	Exotico	3
34606	14	34	6	Jacaranda	Nativo/Autoctono	4
34706	10	21	7	Jacaranda	Nativo/Autoctono	4
34854	16	40	0	Palo borracho	Nativo/Autoctono	5
34887	10	23	6	Jacaranda	Nativo/Autoctono	5
35018	18	54	0	Palo borracho	Nativo/Autoctono	6
35439	4	20	0	Alamo	Exotico	1
35658	10	30	0	Alamo	Exotico	2
35844	16	70	0	Ceibo	Nativo/Autoctono	3
35930	6	30	7	Jacaranda	Nativo/Autoctono	4
36042	17	46	0	Palo borracho	Nativo/Autoctono	6
36120	5	18	0	Acacia	Exotico	2
36123	25	30	0	Alamo	Exotico	4
36325	18	32	0	Palo borracho	Nativo/Autoctono	4
36901	3	2	0	Alamo	Exotico	2
36999	10	53	0	Palo borracho	Nativo/Autoctono	5
37126	7	22	0	Fresno	Exotico	4
37204	11	32	10	Jacaranda	Nativo/Autoctono	6
37442	22	42	12	Alamo	Exotico	4
37540	13	60	0	Casuarina	Exotico	3
37563	15	24	0	Ceibo	Nativo/Autoctono	7
37719	11	18	0	Casuarina	Exotico	4
38099	15	37	0	Alamo	Exotico	4
38105	7	26	0	Palo borracho	Nativo/Autoctono	5
38415	7	24	6	Ceibo	Nativo/Autoctono	3
38467	15	40	5	Fresno	Exotico	4
38761	15	26	0	Ceibo	Nativo/Autoctono	5
39200	25	65	0	Eucalipto	Exotico	1
39389	21	35	0	Eucalipto	Exotico	5
39457	21	35	0	Eucalipto	Exotico	2
39511	20	56	0	Eucalipto	Exotico	1
39517	20	56	0	Eucalipto	Exotico	2
39558	21	32	0	Eucalipto	Exotico	5
39620	21	32	0	Eucalipto	Exotico	2
39625	21	32	0	Eucalipto	Exotico	2
39686	21	32	0	Eucalipto	Exotico	3
39701	21	32	0	Eucalipto	Exotico	4
39715	21	32	0	Eucalipto	Exotico	3
39864	21	32	0	Eucalipto	Exotico	1
40096	10	75	0	Eucalipto	Exotico	4
40374	23	80	3	Eucalipto	Exotico	5
40523	15	26	0	Eucalipto	Exotico	3
40591	26	78	15	Eucalipto	Exotico	3
40613	16	54	0	Eucalipto	Exotico	4
40768	27	43	0	Eucalipto	Exotico	2
40959	8	34	20	Jacaranda	Nativo/Autoctono	5
41043	35	110	0	Eucalipto	Exotico	3
41171	15	120	0	Palo borracho	Nativo/Autoctono	4
41359	27	130	11	Eucalipto	Exotico	3
41372	16	55	0	Fresno	Exotico	3
41683	6	12	0	Alamo	Exotico	4
41713	9	32	0	Fresno	Exotico	3
41715	3	19	0	Acacia	Exotico	0
42088	15	34	7	Casuarina	Exotico	3
42218	2	15	0	Palo borracho	Nativo/Autoctono	3
42273	16	40	0	Fresno	Exotico	5
42754	13	72	0	Fresno	Exotico	1
42835	23	80	3	Casuarina	Exotico	3
43297	30	90	0	Palo borracho	Nativo/Autoctono	5
43510	12	120	0	Eucalipto	Exotico	3
43645	17	32	8	Acacia	Exotico	4
43665	25	100	9	Alamo	Exotico	4
44258	18	34	0	Alamo	Exotico	3
44421	18	21	6	Jacaranda	Nativo/Autoctono	3
44426	10	22	11	Jacaranda	Nativo/Autoctono	4
44537	5	10	0	Jacaranda	Nativo/Autoctono	7
44723	7	12	0	Acacia	Exotico	3
44823	8	14	22	Acacia	Nativo/Autoctono	4
44907	17	45	0	Palo borracho	Nativo/Autoctono	7
44936	20	56	0	Alamo	Exotico	4
45037	6	10	0	Jacaranda	Nativo/Autoctono	4
45063	16	65	0	Casuarina	Exotico	4
45182	4	17	0	Fresno	Exotico	4
45548	22	60	27	Jacaranda	Nativo/Autoctono	5
45735	18	78	5	Palo borracho	Nativo/Autoctono	7
